id,piston_velocity_phase1,metal_velocity_gate,fill_time,phase_transition_position,intensification_time_phase3,intensification_pressure,solidification_time,cycle_time,sleeve_fill_percentage,sleeve_diameter,sleeve_length,plunger_lubricant,plunger_sleeve_clearance,sleeve_temperature,plunger_temperature,blisters_post_treatment,surface_blisters,die_sticking,flow_lines,surface_streaks,cold_shut,heat_cracks,ejector_pin_marks,die_soldering,surface_oxide_inclusions,low_tensile_strength,low_elongation,low_ultimate_strength,low_fatigue_resistance,low_surface_hardness,density_deviation,incomplete_fill,flash,warpage,shrinkage_porosity,volumetric_variation,dimensional_deviation,gas_porosity,gas_bubbles,internal_shrinkage,cracks,hard_inclusions,oxide_inclusions,total_defects,has_defect
14,0.21,3.64,36.43,174.89,6.52,85.32,20.27,78.95,48.74,46.15,125.63,0.0,0.12,161.82,167.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,0.22,3.53,35.36,170.72,7.26,85.54,23.62,67.89,46.36,45.82,126.67,0.0,0.11,193.96,167.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.21,3.79,37.39,177.44,6.23,88.52,17.13,78.6,44.86,48.73,122.74,0.0,0.11,197.45,171.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.24,3.71,31.83,176.97,7.51,116.29,17.45,89.91,44.9,46.26,127.22,0.0,0.11,192.28,162.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.2,3.74,32.92,172.7,7.15,94.83,20.14,72.65,45.05,46.11,128.85,0.0,0.1,184.67,161.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.24,3.58,38.02,177.19,6.4,96.77,22.72,60.75,47.36,49.84,126.09,0.0,0.12,182.8,176.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.23,3.74,35.78,174.31,6.1,91.55,23.21,66.57,49.0,46.54,124.26,0.0,0.09,182.23,162.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.22,3.65,35.9,165.81,5.22,92.87,22.73,62.65,41.14,47.18,129.29,0.0,0.08,194.51,164.1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1
22,0.22,3.64,33.43,176.82,6.42,83.07,24.19,63.74,42.06,48.05,120.54,0.0,0.12,193.5,175.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.23,3.67,30.61,174.42,6.4,82.14,19.28,63.66,47.36,46.77,128.52,0.0,0.1,181.75,179.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.24,3.68,33.56,179.5,7.99,117.32,18.46,67.27,44.93,48.92,122.7,0.0,0.1,183.03,174.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.21,3.77,36.94,177.84,5.96,104.91,22.08,69.79,47.25,48.15,122.96,0.0,0.08,184.76,172.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.22,3.77,30.25,174.11,7.64,86.66,20.5,88.31,48.27,49.3,123.17,0.0,0.11,187.64,165.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.21,3.65,34.6,172.35,7.82,108.63,20.58,79.62,41.77,46.71,122.6,0.0,0.11,193.42,163.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.23,3.64,36.03,178.76,5.86,99.11,19.42,61.88,43.88,45.55,127.26,0.0,0.1,191.88,164.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.23,3.55,38.03,174.76,5.38,82.04,21.85,83.79,43.15,47.13,124.31,0.0,0.09,181.16,179.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.23,3.57,39.77,173.17,5.77,96.6,24.3,74.12,42.89,49.53,128.95,0.0,0.1,180.29,163.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.2,3.78,38.69,179.95,7.25,80.57,19.13,74.79,45.09,49.64,122.02,0.0,0.09,197.62,163.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.21,3.54,35.18,175.48,6.0,105.22,15.69,64.35,45.46,45.31,128.81,0.0,0.09,193.48,167.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.25,3.75,38.28,175.9,7.13,98.63,22.63,65.21,45.79,47.57,129.81,0.0,0.1,183.48,167.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.23,3.69,38.48,170.31,7.46,109.74,18.15,88.85,47.1,49.91,120.57,0.0,0.11,186.05,170.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.23,3.56,35.14,179.09,6.86,97.1,20.49,66.58,45.65,47.51,126.46,0.0,0.1,182.64,164.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.23,3.69,35.69,175.47,5.67,117.35,20.38,60.91,40.49,49.71,128.68,0.0,0.08,196.76,172.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.24,3.64,31.31,172.65,7.46,104.48,19.05,89.2,46.88,47.92,128.41,0.0,0.08,190.29,176.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.24,3.61,31.17,175.65,7.96,104.9,22.93,65.82,41.97,49.18,124.98,0.0,0.12,191.96,161.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.2,3.6,31.33,176.25,7.09,111.02,23.7,60.09,41.76,49.07,120.3,0.0,0.11,183.62,170.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.22,3.65,38.52,170.71,5.04,83.9,19.21,77.81,47.47,49.32,120.17,0.0,0.11,194.12,176.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.22,3.64,36.88,170.92,6.33,108.65,22.63,62.86,42.97,49.41,123.54,0.0,0.08,183.23,177.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.25,3.76,34.85,176.22,5.7,99.34,22.8,64.34,43.21,49.65,121.21,0.0,0.09,183.09,163.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.22,3.76,39.57,175.65,6.06,105.44,22.02,81.96,40.54,48.47,120.05,0.0,0.09,198.59,178.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.21,3.67,30.54,178.12,6.93,84.34,21.57,81.67,40.82,48.21,124.86,0.0,0.1,195.81,161.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.22,3.51,30.12,173.48,7.34,97.38,16.71,84.61,49.09,46.21,127.18,0.0,0.12,180.18,161.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.22,3.75,39.96,177.86,6.48,80.69,17.92,85.53,44.88,47.5,121.95,0.0,0.1,182.1,170.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.23,3.58,31.37,177.58,5.03,106.77,21.69,70.18,44.06,48.76,120.06,0.0,0.12,183.47,171.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.24,3.8,39.07,177.38,6.62,84.91,16.48,65.03,43.29,45.91,123.66,0.0,0.09,183.25,173.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.21,3.76,35.12,179.82,7.79,88.24,15.57,73.27,46.62,48.05,128.18,0.0,0.09,199.31,161.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.21,3.65,33.44,174.25,7.41,100.27,23.35,65.78,46.63,49.31,121.87,0.0,0.1,198.11,179.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.24,3.74,32.41,172.69,6.68,110.1,24.59,69.02,49.11,45.91,120.41,0.0,0.11,189.57,161.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.23,3.72,38.28,177.39,5.77,118.32,16.45,72.43,45.32,45.27,121.25,0.0,0.09,197.4,172.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.22,3.79,36.35,171.39,5.06,94.62,21.32,75.48,46.0,45.42,129.75,0.0,0.08,192.48,178.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.24,3.56,30.68,170.0,6.74,111.15,23.23,74.12,40.59,45.18,129.17,0.0,0.08,195.69,161.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.21,3.55,34.35,179.09,6.12,82.48,16.0,84.5,48.53,48.33,125.15,0.0,0.12,189.46,161.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.22,3.73,35.62,173.19,5.95,120.0,20.43,78.37,48.62,47.96,121.47,0.0,0.1,191.52,167.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.21,3.53,30.1,176.14,6.03,101.47,17.13,76.86,40.16,47.58,129.01,0.0,0.11,194.62,177.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.22,3.78,36.44,171.54,5.19,107.4,15.62,68.3,44.63,47.44,122.63,0.0,0.08,183.24,161.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.24,3.55,34.24,179.51,7.54,82.93,22.03,84.64,44.05,47.34,121.44,0.0,0.08,198.86,172.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.23,3.56,34.22,176.4,7.71,94.01,18.87,62.74,40.06,48.78,124.87,0.0,0.09,181.52,161.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.24,3.61,31.19,170.42,5.84,81.7,21.87,66.42,42.43,47.74,124.45,0.0,0.09,182.25,165.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.21,3.74,32.52,178.49,6.2,96.57,23.59,65.08,45.17,49.84,126.89,0.0,0.09,191.86,178.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0.24,3.51,30.21,173.33,7.72,81.55,15.5,63.29,41.49,49.7,128.1,0.0,0.1,191.12,169.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.25,3.59,31.76,177.26,6.99,111.63,18.59,85.69,45.91,47.0,123.4,0.0,0.09,193.66,175.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.25,3.76,36.33,178.61,6.78,94.75,16.74,79.59,41.93,47.09,128.26,0.0,0.09,182.58,164.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0.22,3.6,31.75,175.14,7.94,91.21,17.08,79.76,42.46,48.59,126.21,0.0,0.12,184.81,177.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0.23,3.79,38.15,175.04,6.85,112.53,17.66,64.77,48.51,49.97,120.76,0.0,0.1,188.55,172.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0.23,3.66,34.62,175.82,5.34,88.29,23.75,77.01,44.83,48.48,122.05,0.0,0.1,187.15,163.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0.22,3.66,34.75,178.36,6.22,109.42,24.61,82.24,41.18,49.17,128.71,0.0,0.09,188.31,165.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.2,3.76,34.54,176.49,7.24,80.19,19.27,63.01,45.39,48.99,124.81,0.0,0.11,196.3,162.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0.24,3.06,39.3,174.27,7.45,97.55,21.13,66.06,40.74,45.78,126.78,0.0,0.08,194.49,174.83,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,10,1
72,0.23,3.65,36.56,170.11,6.09,98.48,17.65,86.17,49.13,45.54,122.93,0.0,0.12,196.76,164.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0.21,3.74,38.36,175.97,5.66,100.05,17.76,81.19,48.14,49.15,123.24,0.0,0.09,199.41,177.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0.23,3.7,38.01,176.83,7.9,90.1,24.72,78.16,48.99,45.81,123.67,0.0,0.09,192.93,160.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0.21,3.58,38.4,172.09,7.59,92.77,17.95,76.09,48.47,49.13,125.36,0.0,0.09,197.73,175.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.24,3.74,35.3,160.7,6.34,82.63,17.75,82.84,44.18,49.05,122.14,0.0,0.11,188.46,172.14,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,8,1
77,0.24,3.62,30.37,175.62,6.97,86.16,24.65,87.33,40.67,47.58,121.53,0.0,0.1,185.44,165.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0.2,3.62,31.64,173.54,7.61,89.01,19.94,66.14,49.79,45.38,128.49,0.0,0.12,195.56,167.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0.24,3.61,33.64,170.66,6.96,92.08,18.11,73.05,44.15,49.05,126.12,0.0,0.1,191.99,173.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.21,3.78,35.65,176.98,7.03,80.26,22.76,73.2,41.91,46.26,120.95,0.0,0.1,192.45,161.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0.23,3.58,35.45,170.53,6.38,104.22,22.23,89.03,43.52,45.35,129.67,0.0,0.09,180.14,175.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.23,3.66,35.64,172.15,7.93,111.05,18.08,66.25,42.48,48.71,126.91,0.0,0.08,199.92,165.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0.2,3.68,38.06,177.07,7.63,80.19,24.99,63.32,40.51,47.77,121.34,0.0,0.08,183.5,170.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.2,3.72,39.39,178.52,6.91,136.09,17.86,73.24,48.61,49.32,127.18,0.0,0.11,180.83,172.85,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6,1
85,0.22,3.57,32.09,178.7,7.75,105.63,24.82,87.04,40.55,49.03,127.43,0.0,0.09,188.75,163.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.21,3.57,31.57,179.91,6.85,96.39,19.96,87.55,44.43,48.13,126.6,0.0,0.12,191.62,163.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0.22,3.52,30.67,172.01,5.54,95.34,24.49,61.71,46.0,45.8,122.78,0.0,0.08,184.76,160.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0.22,3.67,33.44,179.49,7.11,81.17,17.38,89.61,47.37,48.08,127.19,0.0,0.09,188.2,167.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0.23,3.78,35.36,175.9,6.32,107.64,22.14,81.05,42.2,47.99,127.66,0.0,0.09,190.32,161.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.24,3.73,39.3,178.81,5.09,105.23,20.61,68.48,41.06,47.98,129.49,0.0,0.09,197.83,162.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0.22,3.77,31.11,178.63,5.32,117.47,15.14,75.84,42.18,47.86,121.93,0.0,0.09,185.95,169.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0.21,3.6,34.01,173.65,6.9,114.39,21.59,74.36,41.11,49.77,120.39,0.0,0.11,197.78,171.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0.22,3.59,32.92,170.15,7.02,110.45,19.44,66.43,44.51,49.71,121.61,0.0,0.08,187.15,178.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0.24,3.7,39.34,179.59,6.86,112.53,16.67,73.22,47.48,49.57,122.02,0.0,0.11,190.36,166.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0.22,3.54,32.82,176.67,6.37,98.18,18.39,81.87,42.77,49.92,120.26,0.0,0.09,194.95,168.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0.22,3.7,30.19,175.42,7.16,119.87,16.05,60.35,42.91,46.64,128.08,0.0,0.09,184.93,177.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.23,3.71,35.05,176.77,5.77,116.83,18.61,74.07,40.69,49.9,127.67,0.0,0.11,194.2,169.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.25,3.52,37.51,171.78,6.4,118.15,20.81,75.7,40.62,46.39,120.03,0.0,0.12,192.9,162.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0.25,3.54,31.61,173.88,5.62,86.31,19.87,60.42,45.16,49.34,125.64,0.0,0.09,182.33,172.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.23,3.58,39.12,177.21,7.12,82.45,16.42,76.89,49.24,47.94,126.72,0.0,0.12,189.09,166.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0.25,3.57,31.36,177.18,5.57,96.37,18.11,88.63,41.91,45.69,121.3,0.0,0.1,195.88,163.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0.23,3.66,38.74,174.47,5.16,117.09,24.39,68.05,44.52,47.82,129.0,0.0,0.11,185.76,167.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0.24,3.7,33.4,170.75,7.42,108.39,18.54,68.91,44.13,49.84,123.65,0.0,0.09,195.34,174.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0.22,3.65,38.82,173.87,6.51,97.08,16.36,85.15,45.09,49.2,124.92,0.0,0.09,180.79,169.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.23,3.66,38.82,177.49,6.41,109.88,23.83,64.31,42.0,48.63,121.7,0.0,0.09,193.12,170.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0.2,3.57,30.05,174.7,6.11,81.83,17.41,82.2,48.07,45.02,121.06,0.0,0.12,192.98,173.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0.25,3.67,30.08,171.06,6.36,91.72,23.67,86.96,40.68,45.3,124.32,0.0,0.09,198.26,174.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.24,3.6,33.02,172.62,5.34,97.52,16.96,88.1,47.49,48.67,123.96,0.0,0.09,191.21,175.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
